id,election_id,upper_tier,lower_tier,current_council,election_date,year,ward_id,ward_name,candidate,party,vote,female,vacancies,rank,electorate,ballots_cast,turnout,vote_share,source,notes
shef_0001,1945shef1001,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1001,Attercliffe,Bingham J.,Lab,0,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0002,1945shef1001,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1001,Attercliffe,Scott E.,Lab,0,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0003,1945shef1002,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1002,Brightside,Redgate H.,Lab,3939,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0004,1945shef1002,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1002,Brightside,Hobson A.,Lab,3790,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0005,1945shef1002,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1002,Brightside,Howorth H.,Comm,1204,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0006,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Price F.,Prog,4475,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0007,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Colver R.,Prog,4362,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0008,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Broughton C.,Prog,4234,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0009,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Wood E.,Lab,1694,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0010,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Neville T.,Lab,1638,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0011,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Kennedy W.,Lab,1469,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0012,1945shef1003,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1003,Broomhill,Atkins M.,Comm,813,0,3,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0013,1945shef1004,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1004,Burngreave,Shelton J.,Lab,3459,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0014,1945shef1004,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1004,Burngreave,Wise W.,Lab,3229,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0015,1945shef1004,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1004,Burngreave,Barker B.,Comm,714,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0016,1945shef1005,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1005,Crookesmoor,Patterson E.,Lab,3480,0,1,,0,5616,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0017,1945shef1005,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1005,Crookesmoor,Siddall A.,Prog,2136,0,1,,0,5616,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0018,1945shef1006,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1006,Darnall,Ives A.,Lab,4641,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0019,1945shef1006,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1006,Darnall,Whittington J.,Lab,4354,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0020,1945shef1006,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1006,Darnall,Edwards W.,Prog,1485,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0021,1945shef1006,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1006,Darnall,Lill W.,Prog,1253,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0022,1945shef1007,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1007,Ecclesall,Holmes O.,Prog,7154,0,1,,0,9480,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0023,1945shef1007,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1007,Ecclesall,Medcraft D.,Lab,2326,0,1,,0,9480,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0024,1945shef1008,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1008,Firth Park,Buchanan P.,Lab,7775,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0025,1945shef1008,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1008,Firth Park,Middleton J.,Lab,7590,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0026,1945shef1008,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1008,Firth Park,Beecroft H.,Prog,3283,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0027,1945shef1008,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1008,Firth Park,Piele J.,Prog,3074,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0028,1945shef1009,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1009,Hallam,Ashmore R.,Prog,4921,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0029,1945shef1009,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1009,Hallam,Wolstenholme A.,Prog,4820,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0030,1945shef1009,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1009,Hallam,Allott R.,Lab,3125,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0031,1945shef1009,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1009,Hallam,Gethin M.,Lab,3015,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
shef_0032,1945shef1010,Sheffield,Sheffield,Sheffield,01/11/1945,1945,shef1010,Handsworth,Atkin E.,Lab,7382,0,2,,0,0,0,,"Rallings, C.S., Thrasher, M.A.M. and Ware, L., British Local Election Database, 1889-2003 [computer file]. Colchester, Essex: UK Data Archive [distributor], June 2006. SN: 5319, http://doi.org/10.5255/UKDA-SN-5319-1.",
